rank,node_id,betweenness_centrality,longitude,latitude
1,15619,180918375.89595225,1273446.17182879,242840.059052706
2,15886,170441767.3025231,1272295.32376361,233460.752995104
3,15634,154149649.3235999,1271710.75768301,230180.395743743
4,17297,153005571.59932116,1273636.61144499,246714.367920682
5,15673,150812349.3258789,1271699.98309101,229532.444959089
6,15672,147323588.25741035,1271412.28843471,224797.240794241
7,15861,142862214.58947787,1271917.62731522,223858.96188128003
8,15618,134859069.2351104,1274038.1873814,251126.435893193
9,19574,124321684.76834196,1271973.79358728,258235.828156471
10,15853,107960453.73271015,1273526.37349288,217714.443282977
